item_key,main_category,sub_category,brnd,elasticity_item,source,n_obs,cat_reg_elasticity,cat_promo_elasticity,cat_se,elasticity_reconciled,reconciled_source
158263835831735,im6,sc34,b332,-1.557733340004855,item_ridge,1006.0,-0.7540643423936192,-1.1052321719674671,0.0117226556316826,-1.5557491862094832,item
247288384410249,im15,sc61,b43,-0.3701674932352681,category_fe_positive_fallback,933.0,-0.3701674932352681,-0.4867729418820625,0.0094473752650418,-0.37606314727235,sub_category
257163222790675,im14,sc51,b122,-1.7369258510901724,item_ridge,517.0,-0.4547142583452114,-0.5090817434280027,0.0066479608065638,-1.7356107709449757,item
234622465035017,im20,sc89,b551,-1.453416288677882,item_ridge,727.0,-0.6719321285344858,-1.1053539421228344,0.0112772387829762,-1.4536641006306201,item
23373539363200,im14,sc51,b169,-1.4175300418037906,item_ridge,186.0,-0.4547142583452114,-0.5090817434280027,0.0066479608065638,-1.416723386520126,item
78247410979667,im20,sc89,b348,-1.138083035447861,item_ridge,338.0,-0.6719321285344858,-1.1053539421228344,0.0112772387829762,-1.1381953252389436,item
66629321797248,im20,sc89,b332,-0.9833748588572834,item_ridge,943.0,-0.6719321285344858,-1.1053539421228344,0.0112772387829762,-0.9838090137822988,item
144124457068391,im5,sc26,b332,-0.2621554082464906,item_ridge,876.0,-0.5329307810791537,-1.0012805344071898,0.0196419014737194,-0.2636433950267959,item
60702270952686,im6,sc34,b332,-1.1070568851828155,item_ridge,957.0,-0.7540643423936192,-1.1052321719674671,0.0117226556316826,-1.1065916942585272,item
78191777393020,im8,sc81,b332,-0.1261657198652168,item_ridge,929.0,-0.5240268331974867,-0.98244493005407,0.0158566637101308,-0.12568950236795484,item
176748794498897,im14,sc51,b367,-1.378996559399586,item_ridge,448.0,-0.4547142583452114,-0.5090817434280027,0.0066479608065638,-1.3784813100432678,item
172983785370020,im17,sc55,b391,-1.5642505421232018,item_ridge,794.0,-0.5825053462263596,-0.9597630819115917,0.0120962057980395,-1.5632556514767737,item
106266744563234,im17,sc67,b24,-2.261635149121295,item_ridge,726.0,-0.5825053462263596,-0.9597630819115917,0.0120962057980395,-2.260100481208846,item
53587843475486,im6,sc34,b520,-0.5833428466597339,item_ridge,278.0,-0.7540643423936192,-1.1052321719674671,0.0117226556316826,-0.5831203343219593,item
65373933621535,im20,sc89,b332,-0.2783350513330319,item_ridge,917.0,-0.6719321285344858,-1.1053539421228344,0.0112772387829762,-0.27856108293836185,item
57280719065297,im14,sc51,b283,-0.1519004994754588,item_ridge,568.0,-0.4547142583452114,-0.5090817434280027,0.0066479608065638,-0.15123988838020655,item
82894169698233,im15,sc63,b65,-0.3958003876894505,item_ridge,720.0,-0.3701674932352681,-0.4867729418820625,0.0094473752650418,-0.3958222186130145,item
10650991296578,im8,sc37,b520,-0.5615441895942203,item_ridge,816.0,-0.5240268331974867,-0.98244493005407,0.0158566637101308,-0.5609338368528141,item
5277700535289,im9,sc42,b224,-0.6371098408075764,item_ridge,207.0,-0.6990257650229246,-0.3020684723539735,0.0133293137954538,-0.6385705810040929,item
213124442448250,im19,sc59,b476,-0.8295740266681335,item_ridge,914.0,-0.3484302192705804,-0.4712393146436414,0.0168972418100549,-0.8298292530575971,item
207253220378593,im17,sc55,b391,-0.5825053462263596,category_fe_positive_fallback,802.0,-0.5825053462263596,-0.9597630819115917,0.0120962057980395,-0.6443482333568126,sub_category
231070086715751,im6,sc34,b520,-0.0797733000902516,item_ridge,502.0,-0.7540643423936192,-1.1052321719674671,0.0117226556316826,-0.07959146205077966,item
243132636113533,im8,sc37,b395,-0.8349662697250851,item_ridge,795.0,-0.5240268331974867,-0.98244493005407,0.0158566637101308,-0.8345596251047046,item
179342565079311,im5,sc78,b302,-1.0465641501043417,item_ridge,925.0,-0.5329307810791537,-1.0012805344071898,0.0196419014737194,-1.0473234965269116,item
233178993358812,im20,sc72,b520,-0.112173948880703,item_ridge,576.0,-0.6719321285344858,-1.1053539421228344,0.0112772387829762,-0.1122750572648017,item
101029640343332,im14,sc51,b283,-0.8867158635897596,item_ridge,390.0,-0.4547142583452114,-0.5090817434280027,0.0066479608065638,-0.8864142209202326,item
84560365002131,im15,sc61,b350,-0.3701674932352681,category_fe_positive_fallback,468.0,-0.3701674932352681,-0.4867729418820625,0.0094473752650418,-0.37606314727235,sub_category
228221155027483,im6,sc9,b332,-0.9108730607583452,item_ridge,859.0,-0.7540643423936192,-1.1052321719674671,0.0117226556316826,-0.9106144343480486,item
228176744991707,im16,sc83,b332,-1.1734027692358069,item_ridge,782.0,-0.7311111818334803,-1.1262045944613654,0.02034177093961,-1.174139947604223,item
645553196889,im6,sc34,b332,-1.227196957980533,item_ridge,495.0,-0.7540643423936192,-1.1052321719674671,0.0117226556316826,-1.2270263993683175,item
261347650560619,im14,sc51,b66,-0.6243124427352625,item_ridge,217.0,-0.4547142583452114,-0.5090817434280027,0.0066479608065638,-0.624081774811507,item
145228210304844,im16,sc83,b324,-0.6641602010975965,item_ridge,792.0,-0.7311111818334803,-1.1262045944613654,0.02034177093961,-0.6648505353556448,item
