main_category,elasticity,se,promo_elasticity
im20,-0.11031481603760741,0.0076071256232411,
im14,-0.25988416438291173,0.011705058733436436,
im9,-0.4062827424644387,0.043690864186402764,
im16,-0.010915574859236775,0.012732193896141716,
im6,-0.16548030594680463,0.016054619548822317,
im2,-0.39972632580159834,0.022640243559125466,
im11,-0.4775807924160157,0.037164952209166324,
im17,-0.13931706750489037,0.009147906145452566,
im5,0.0018333465293161046,0.015946047064672945,
im3,-0.42939826046684754,0.021835303277336897,
im19,-0.4685391355476496,0.029566767228528846,
im7,0.1531089881439329,0.020204522651960655,
im8,-0.13442485705600604,0.013273153710510287,
im4,-0.21627081707329818,0.03940900600188818,
im12,0.12117997189913873,0.15190029544388617,
im15,-1.0135682655028846,0.026826724967127343,
im1,-0.6332674358688699,0.05416441566588638,
