item_key,elasticity,n_obs,se,elasticity_clipped
122255998472,-2.277371354876947,654,0.0600373091429332,-2.277371354876947
142060233120,-2.3892137749768927,160,0.0262838272188546,-2.3892137749768927
273254869476,-1.6155126319306996,701,0.0687563201086147,-1.6155126319306996
334741852012,-4.475208096699544,837,0.1419958164752356,-4.475208096699544
360969770608,-2.210093609307567,502,0.0653429038617137,-2.210093609307567
361263665728,-2.456598413112136,937,0.0653429038617137,-2.456598413112136
426445230223,-1.6431998312850997,694,0.0262838272188546,-1.6431998312850997
451781451022,-1.3491933775495881,631,0.0262838272188546,-1.3491933775495881
454322348784,-2.13554769056596,827,0.0765432789165805,-2.13554769056596
534895545168,-2.67219931945909,764,0.0600373091429332,-2.67219931945909
543973061810,-1.5221486024284916,636,0.0452023071381502,-1.5221486024284916
557508304121,-2.0695752864869323,306,0.0765432789165805,-2.0695752864869323
590882946133,-2.0388635315609682,577,0.0765432789165805,-2.0388635315609682
642947446522,-0.5700794086717409,788,0.0687563201086147,-0.5700794086717409
645553196889,-3.013229510505899,495,0.0653429038617137,-3.013229510505899
699237237377,-2.018191121471238,267,0.0262838272188546,-2.018191121471238
895469897618,-1.3432018407115667,872,0.0262838272188546,-1.3432018407115667
911302539935,-2.6862547936628416,187,0.0262838272188546,-2.6862547936628416
1006543042866,-2.0439055118533913,792,0.0489823470743429,-2.0439055118533913
1229038828612,-2.713623656998801,361,0.0262838272188546,-2.713623656998801
1229733485661,-2.5669265051773795,525,0.0489823470743429,-2.5669265051773795
1273773874044,-2.305838303891183,126,0.0653429038617137,-2.305838303891183
1277502153005,-2.5474006356119716,724,0.0653429038617137,-2.5474006356119716
1340596856000,-2.5109344393603883,280,0.0826456231190062,-2.5109344393603883
1590287234780,-2.0581433920947805,188,0.0262838272188546,-2.0581433920947805
1652426723209,-2.5866732889081554,525,0.0262838272188546,-2.5866732889081554
1687354230478,-2.09623682169965,585,0.0489823470743429,-2.09623682169965
1790164797872,-1.4767665075145089,213,0.0262838272188546,-1.4767665075145089
1907487694394,-2.826207469202125,922,0.0600373091429332,-2.826207469202125
1981198122793,-2.244220490786596,765,0.0489823470743429,-2.244220490786596
2126790419932,-2.478202867352245,913,0.0653429038617137,-2.478202867352245
2169278488511,-2.9453738563464844,928,0.0600373091429332,-2.9453738563464844
2364532345270,-2.3583045087484193,800,0.0489823470743429,-2.3583045087484193
2448318672390,-2.3711606193264556,886,0.0489823470743429,-2.3711606193264556
2506340415430,-2.546137177741932,768,0.0600373091429332,-2.546137177741932
2529791781737,-2.356304477239104,822,0.0653429038617137,-2.356304477239104
2684475193179,-2.0025129501264924,757,0.0600373091429332,-2.0025129501264924
2692801778218,-2.954243725657888,799,0.1010329955898673,-2.954243725657888
2741204919379,-1.6818158890805353,689,0.0826456231190062,-1.6818158890805353
2750802669707,-2.029757161833092,340,0.0262838272188546,-2.029757161833092
2751905588963,-1.6756669357965017,346,0.0600373091429332,-1.6756669357965017
2753991183399,-2.022598317731428,591,0.0672170763845647,-2.022598317731428
2875774016995,-2.4154819105389924,983,0.0653429038617137,-2.4154819105389924
